Timestamp,Symbol,Signal_Type,Direction,Breakout_Level,Stop_Level,Target_Level,Body_Percent,Risk_Reward,FII_DII_Signal,Confidence
2026-08-12 09:30:14,UNIONBANK,BULLISH_ORB,BUY,186.05,181.82,193.15,1.95,1.68,BUY,HIGH
2026-08-13 09:30:03,BDL,BULLISH_ORB,BUY,1360.10,1329.00,1420.30,2.26,1.94,BUY,HIGH
2026-08-13 09:30:03,DELHIVERY,BULLISH_ORB,BUY,470.15,466.00,478.45,0.89,2.00,BUY,HIGH
2026-08-13 09:30:03,CONCOR,BULLISH_ORB,BUY,521.70,513.70,535.80,1.37,1.76,STRONG_BUY,VERY_HIGH
2026-08-14 09:30:31,CONCOR,BULLISH_ORB,BUY,541.90,533.00,555.70,1.29,1.55,STRONG_BUY,VERY_HIGH
2026-08-14 09:30:31,JUBLFOOD,BULLISH_ORB,BUY,516.00,495.00,557.30,4.17,1.97,STRONG_BUY,VERY_HIGH
2026-08-24 09:30:17,CDSL,BULLISH_ORB,BUY,1405.00,1390.00,1435.00,1.08,2.00,STRONG_BUY,VERY_HIGH
2026-08-24 09:30:17,LODHA,BULLISH_ORB,BUY,1246.90,1225.40,1280.70,1.37,1.57,STRONG_BUY,VERY_HIGH
2026-08-24 09:30:17,CIPLA,BEARISH_ORB,SELL,1419.40,1428.50,1402.20,0.60,1.89,STRONG_SELL,VERY_HIGH
2026-08-24 09:30:17,HEROMOTOCO,BEARISH_ORB,SELL,5683.00,5728.00,5609.00,0.65,1.64,STRONG_SELL,VERY_HIGH
2026-08-26 09:30:18,INDIANB,BULLISH_ORB,BUY,896.90,882.50,920.90,1.36,1.67,BUY,HIGH
2026-08-26 09:30:18,DIVISLAB,BULLISH_ORB,BUY,8856.00,8701.00,9089.00,1.33,1.50,BUY,HIGH
2026-08-26 09:30:18,BDL,BEARISH_ORB,SELL,1330.90,1366.30,1274.70,2.07,1.59,STRONG_SELL,VERY_HIGH
2026-08-26 09:30:18,FEDERALBNK,BEARISH_ORB,SELL,345.55,348.90,340.15,0.78,1.61,STRONG_SELL,VERY_HIGH
2026-08-26 09:30:18,POLICYBZR,BULLISH_ORB,BUY,1823.60,1806.30,1858.20,0.96,2.00,BUY,HIGH
2026-08-27 09:30:00,LICHSGFIN,BULLISH_ORB,BUY,536.75,526.85,553.85,1.62,1.73,STRONG_BUY,VERY_HIGH
2026-08-27 09:30:00,HYUNDAI,BULLISH_ORB,BUY,2262.70,2247.00,2294.10,0.70,2.00,STRONG_BUY,VERY_HIGH
2026-08-27 09:30:00,PGEL,BULLISH_ORB,BUY,593.65,587.15,606.65,1.11,2.00,BUY,HIGH
2026-08-27 09:30:00,KOTAKBANK,BULLISH_ORB,BUY,420.55,415.00,430.15,1.15,1.73,STRONG_BUY,VERY_HIGH
2026-08-28 09:30:10,HCLTECH,BULLISH_ORB,BUY,1315.60,1290.00,1366.80,1.98,2.00,BUY,HIGH
2026-08-31 09:30:28,ICICIPRULI,BEARISH_ORB,SELL,502.25,506.00,494.75,0.74,2.00,STRONG_SELL,VERY_HIGH
2026-08-31 09:30:28,ASTRAL,BULLISH_ORB,BUY,1536.00,1515.50,1568.00,1.05,1.56,BUY,HIGH
2026-09-01 09:30:01,PFC,BULLISH_ORB,BUY,347.25,343.30,355.15,1.15,2.00,BUY,HIGH
2026-09-01 09:30:01,ASTRAL,BEARISH_ORB,SELL,1522.80,1538.00,1493.40,0.96,1.93,STRONG_SELL,VERY_HIGH
2026-09-01 09:30:01,OIL,BULLISH_ORB,BUY,488.80,484.20,496.40,0.78,1.65,STRONG_BUY,VERY_HIGH
2026-09-03 09:30:01,ANGELONE,BULLISH_ORB,BUY,282.90,280.35,288.00,0.91,2.00,BUY,HIGH
