Timestamp,Symbol,Signal_Type,Close,Strength,Reason,OR_High,OR_Low
2026-07-29 09:55:51,INDIGO,REVERSAL_UP,5255.00,100,Bullish reversal: broke above OR_HIGH (5236.50) by 75.51%,5236.50,5212.00
2026-07-29 09:55:51,INDHOTEL,REVERSAL_UP,738.80,72,Bullish reversal: broke above OR_HIGH (738.15) by 36.11%,738.15,736.35
2026-07-29 09:55:51,MANAPPURAM,REVERSAL_UP,365.65,100,Bullish reversal: broke above OR_HIGH (363.10) by 219.35%,363.10,361.55
2026-07-29 09:55:51,MOTILALOFS,REVERSAL_UP,863.60,32,Bullish reversal: broke above OR_HIGH (862.50) by 15.94%,862.50,855.60
2026-07-29 09:57:55,CDSL,REVERSAL_UP,1352.80,18,Bullish reversal: broke above OR_HIGH (1352.40) by 9.09%,1352.40,1348.00
2026-07-29 09:57:55,IREDA,REVERSAL_UP,120.85,31,Bullish reversal: broke above OR_HIGH (120.79) by 15.49%,120.79,120.08
2026-07-29 10:00:09,M&M,REVERSAL_DOWN,3284.40,94,Bearish reversal: broke below OR_LOW (3295.10) by 47.14%,3317.80,3295.10
2026-07-29 10:00:09,SUNPHARMA,REVERSAL_DOWN,1973.90,100,Bearish reversal: broke below OR_LOW (1978.60) by 65.28%,1985.80,1978.60
2026-07-29 10:06:22,PRESTIGE,REVERSAL_UP,1693.90,7,Bullish reversal: broke above OR_HIGH (1693.40) by 3.57%,1693.40,1679.40
2026-07-29 10:06:22,NYKAA,REVERSAL_DOWN,329.50,19,Bearish reversal: broke below OR_LOW (329.75) by 9.43%,332.40,329.75
2026-07-29 10:10:40,INDIANB,REVERSAL_UP,838.00,60,Bullish reversal: broke above OR_HIGH (837.90) by 30.19%,837.90,835.25
2026-07-29 10:21:04,BANDHANBNK,REVERSAL_UP,170.30,100,Bullish reversal: broke above OR_HIGH (169.64) by 73.40%,169.64,168.70
2026-07-29 10:30:02,CROMPTON,REVERSAL_UP,251.10,100,Bullish reversal: broke above OR_HIGH (249.65) by 120.69%,249.65,248.20
2026-07-29 10:32:08,KALYANKJIL,REVERSAL_DOWN,614.40,100,Bearish reversal: broke below OR_LOW (616.50) by 53.64%,622.00,616.50
2026-07-29 10:51:28,SBILIFE,REVERSAL_UP,1900.90,7,Bullish reversal: broke above OR_HIGH (1900.60) by 3.53%,1900.60,1892.10
2026-07-29 10:53:42,INFY,REVERSAL_UP,1152.10,21,Bullish reversal: broke above OR_HIGH (1150.30) by 10.58%,1150.30,1129.50
2026-07-29 11:02:02,MAXHEALTH,REVERSAL_DOWN,1112.00,33,Bearish reversal: broke below OR_LOW (1112.20) by 16.33%,1117.10,1112.20
2026-07-29 11:04:06,TRENT,REVERSAL_UP,2953.10,100,Bullish reversal: broke above OR_HIGH (2928.80) by 267.89%,2928.80,2917.90
2026-07-29 11:06:11,LODHA,REVERSAL_UP,1306.85,14,Bullish reversal: broke above OR_HIGH (1305.15) by 6.87%,1305.15,1280.40
2026-07-30 09:56:52,ETERNAL,REVERSAL_UP,308.00,44,Bullish reversal: broke above OR_HIGH (307.90) by 22.00%,307.90,305.40
